## Thu Nov  4 09:44:55 2021 
model n s Ncalpt IC.clk IC.cor IC.rel rho
2 20 1000 1 45.14964 119.0565 121.7778 0.4628669
2 20 1000 1 43.39877 117.3725 120.0089 5.465206e-06
2 20 1000 1 46.7738 120.6462 123.2421 4.408955e-09
2 20 1000 1 43.19417 117.1005 119.725 0.7170242
2 20 1000 1 41.24333 115.1677 117.7826 0.9989339
2 20 1000 1 42.08462 116.0543 118.6503 0.994501
2 20 1000 1 49.20122 123.0805 125.4599 1.42177e-08
2 20 1000 1 45.30452 119.1374 121.6779 0.1495076
2 20 1000 1 51.37377 125.0509 127.4946 0.0009130113
2 20 1000 1 50.97749 124.7932 127.4612 0.7470762
2 20 1000 1 56.86595 130.5409 133.1124 1.937205e-06
2 20 1000 1 41.90701 115.867 118.4686 7.691495e-06
2 20 1000 1 61.05528 134.5412 137.1593 8.107629e-08
2 20 1000 1 44.85256 118.8147 121.3906 4.287595e-05
2 20 1000 1 41.2362 115.1945 117.8036 0.0907076
4 20 1000 1 46.28524 120.0771 122.7231 0.0001382758
4 20 1000 1 42.5007 116.4675 119.0507 3.225814e-05
4 20 1000 1 47.65644 121.5274 124.1726 0.1210692
4 20 1000 1 65.87456 139.4322 141.486 0.01260048
4 20 1000 1 43.99591 117.9458 120.5777 0.0006837004
4 20 1000 1 243.2336 220.7788 220.6379 0.0009819364
4 20 1000 1 76.11581 149.3047 151.61 0.0004027244
4 20 1000 1 50.55455 124.4162 126.9083 0.8789121
4 20 1000 1 43.86526 117.8121 120.5214 6.077795e-05
4 20 1000 1 42.42628 116.3428 118.9297 7.807674e-08
4 20 1000 1 44.61868 118.4702 121.1076 5.869414e-06
4 20 1000 1 42.25586 116.2228 118.842 0.5413136
4 20 1000 1 45.34614 119.2833 121.8325 1.095181e-10
4 20 1000 1 42.08536 116.0328 118.6954 0.02586747
4 20 1000 1 43.70393 117.6059 120.339 0.04486894
4 20 1000 1 49.59596 123.3853 126.0719 1.486162e-05
4 20 1000 1 41.14522 115.1089 117.7478 0.01809644
4 20 1000 1 42.05901 115.9828 118.5743 4.823388e-05
4 20 1000 1 42.48298 116.4543 119.0856 4.476199e-05
4 20 1000 1 52.91067 126.8426 129.3996 7.86032e-07
4 20 1000 1 42.6614 116.6299 119.3203 0.009642685
4 20 1000 1 42.66507 116.6167 119.1855 2.101658e-06
4 20 1000 1 53.17727 127.0141 129.7589 0.8998403
4 20 1000 1 44.19695 118.1321 120.7629 2.819736e-09
4 20 1000 1 46.52731 120.3914 122.9353 1.04101e-09
4 20 1000 1 48.43556 122.3375 124.9955 0.002254508
4 20 1000 1 48.29718 122.0945 124.7331 0.000210197
4 20 1000 1 77.00216 150.0508 152.4345 1.059087e-07
4 20 1000 1 44.29269 118.1411 120.7761 1.820996e-14
4 20 1000 1 95.59563 166.0403 167.2985 0.5099684
4 20 1000 1 46.95013 120.8032 123.3084 0.0006264956
4 20 1000 1 46.33663 120.2364 122.74 0.0001502039
4 20 1000 1 43.56471 117.4805 120.0911 1.171296e-05
4 20 1000 1 53.16554 126.995 129.4115 0.2420998
4 20 1000 1 44.6265 118.563 121.1778 0.002219545
4 20 1000 1 42.43868 116.3955 119.0287 0.0003145455
4 20 1000 1 40.99186 114.9765 117.5689 2.010979e-10
4 20 1000 1 50.74173 124.5281 127.4829 1.218524e-05
4 20 1000 1 41.12003 115.0767 117.6885 4.204361e-10
4 20 1000 1 46.83367 120.6916 123.3114 8.937623e-08
4 20 1000 1 58.09301 131.7323 134.2533 7.699839e-08
4 20 1000 1 46.24646 120.0859 122.6563 1.426641e-08
4 20 1000 1 53.13571 126.7868 129.4232 0.0007547963
4 20 1000 1 51.98974 125.6878 128.8591 0.0749685
4 20 1000 1 43.60336 117.5729 120.2512 2.372611e-05
4 20 1000 1 52.02324 125.9033 128.5619 4.879455e-08
4 20 1000 1 47.88949 121.7615 124.3692 1.000116e-07
4 20 1000 1 44.36402 118.2693 120.8503 0.0003064226
4 20 1000 1 49.88953 123.7662 126.3786 2.188231e-05
4 20 1000 1 43.3881 117.3101 119.9126 0.01097104
4 20 1000 1 41.92669 115.8352 118.4339 0.00289935
4 20 1000 1 43.44307 117.3733 119.9933 4.563045e-05
4 20 1000 1 56.09043 129.8222 132.1662 0.02280955
4 20 1000 1 45.77776 119.7031 122.2657 0.0008127166
4 20 1000 1 48.17024 122.0478 124.752 6.387526e-08
4 20 1000 1 46.83545 120.6693 123.3946 0.999301
4 20 1000 1 43.79832 117.765 120.3964 2.451448e-07
4 20 1000 1 46.04063 119.9625 122.5644 0.002096475
4 20 1000 1 45.00055 118.8934 121.493 0.01736022
4 20 1000 1 58.01198 131.2135 133.3445 0.8536473
4 20 1000 1 41.26158 115.2107 117.8418 4.667509e-10
4 20 1000 1 57.32855 131.0689 133.8436 3.942982e-05
4 20 1000 1 49.33812 123.2328 125.9262 1.978897e-10
4 20 1000 1 42.94056 116.8856 119.5059 2.538765e-09
4 20 1000 1 43.24934 117.1478 119.8012 0.0001964758
4 20 1000 1 46.65953 120.5648 123.0566 0.001305107
4 20 1000 1 97.3354 166.7629 168.2096 0.9628
4 20 1000 1 44.70199 118.6144 121.2631 3.064187e-06
4 20 1000 1 46.60469 120.3965 122.9449 0.9772525
4 20 1000 1 42.79955 116.7405 119.4184 0.0001253234
4 20 1000 1 41.87836 115.8427 118.4737 0.001956405
4 20 1000 1 46.88709 120.7809 123.3139 9.412871e-10
4 20 1000 1 49.39621 123.2157 125.8305 3.529473e-06
4 20 1000 1 44.86816 118.8103 121.388 3.62728e-08
4 20 1000 1 52.82682 126.718 129.3465 0.0002689253
4 20 1000 1 48.95297 122.8293 125.3464 0.02395762
4 20 1000 1 46.72167 120.5533 123.1244 0.1356166
4 20 1000 1 92.81605 164.1282 165.5121 6.899169e-07
4 20 1000 1 55.69233 129.3161 131.8239 2.087766e-12
4 20 1000 1 52.30637 126.1147 128.8667 0.03807593
4 20 1000 1 44.96186 118.876 121.4855 0.7788648
4 20 1000 1 43.4251 117.3698 119.9459 7.04883e-06
4 20 1000 1 48.22012 122.0505 124.554 2.092625e-05
4 20 1000 1 45.69198 119.6032 122.1456 0.02088938
4 20 1000 1 49.0395 122.8575 125.4193 0.01112109
4 20 1000 1 61.82408 135.4199 138.0015 1.515495e-07
4 20 1000 1 53.34617 127.1174 129.8113 1.888111e-09
4 20 1000 1 48.43375 122.3335 124.9967 0.00111608
4 20 1000 1 64.22851 137.5464 140.4812 4.266444e-05
4 20 1000 1 45.82907 119.727 122.2249 0.01120887
4 20 1000 1 45.72444 119.6338 122.1928 0.0002524646
4 20 1000 1 44.01997 117.9735 120.6104 1.054681e-05
4 20 1000 1 45.14159 119.0351 121.7486 3.665173e-05
4 20 1000 1 49.96223 123.8335 126.4346 0.01188204
4 20 1000 1 142.9544 203.5159 203.9909 0.0003392813
4 20 1000 1 45.94073 119.849 122.4465 5.446782e-09
4 20 1000 1 77.09419 148.4428 150.1584 4.597179e-07
4 20 1000 1 42.02822 115.9624 118.5882 6.600666e-08
4 20 1000 1 44.33634 118.2676 121.0424 0.001031377
4 20 1000 1 58.92542 132.273 135.2129 9.488157e-07
1 20 1000 5 45.23213 119.1279 121.5288 4.523473e-06
1 20 1000 5 47.75933 121.6499 124.3637 9.002506e-08
1 20 1000 5 60.79026 134.4271 136.7707 0.004828541
1 20 1000 5 64.86986 138.5799 140.5816 3.782515e-07
1 20 1000 5 46.99262 120.8355 123.257 0.000199591
1 20 1000 5 47.08507 120.9998 123.4876 0.001576627
1 20 1000 5 48.93936 122.833 125.063 2.112518e-05
1 20 1000 5 49.87363 123.7809 126.525 7.942295e-10
1 20 1000 5 48.046 121.8999 124.4814 0.8781759
1 20 1000 5 48.78468 122.713 125.1581 0.07934992
1 20 1000 5 48.66171 122.4801 124.9261 3.105978e-06
1 20 1000 5 59.02186 131.2947 133.2109 1.74455e-05
1 20 1000 5 53.71478 127.6022 130.1506 5.341576e-06
1 20 1000 5 48.95614 122.7911 125.613 1.736417e-07
1 20 1000 5 82.7874 155.4373 156.6101 6.781333e-07
1 20 1000 5 52.33161 126.2 128.404 0.0001205004
1 20 1000 5 49.20697 123.0377 125.5736 1.899999e-05
1 20 1000 5 50.90106 124.6906 126.9215 0.0003078676
1 20 1000 5 43.94675 117.8569 120.5026 0.236207
1 20 1000 5 49.53404 123.3815 126.0171 5.195044e-05
1 20 1000 5 46.69136 120.4697 122.6508 5.651928e-07
1 20 1000 5 54.57817 128.2996 130.6267 3.839889e-05
1 20 1000 5 51.46273 125.3506 127.6923 1.132761e-05
1 20 1000 5 48.22009 122.0955 124.7587 1.307763e-10
1 20 1000 5 47.11403 120.9041 123.2382 1.961686e-06
1 20 1000 5 45.82732 119.7572 122.3606 2.894478e-05
1 20 1000 5 48.2322 122.1172 124.4657 1.600171e-07
1 20 1000 5 73.25123 146.8774 148.9051 0.0003124254
1 20 1000 5 49.85263 123.7339 125.8178 6.39478e-07
1 20 1000 5 47.66645 121.559 123.8716 0.0003330253
1 20 1000 5 47.25212 121.1242 124.0503 5.387136e-07
1 20 1000 5 49.85279 123.4217 125.8698 0.04340328
1 20 1000 5 54.4629 128.297 130.5406 3.092121e-05
1 20 1000 5 56.60522 130.2539 132.6642 0.0003335107
