## Sat Oct 30 14:10:38 2021 
model n s Ncalpt IC.clk IC.cor IC.rel rho
3 20 1000 1 56.2529 130.1205 132.3848 0.005696426
3 20 1000 1 56.12613 130.0361 132.8445 1.13862e-08
3 20 1000 1 72.67844 146.35 148.6183 0.0002621197
3 20 1000 1 54.21062 128.1615 130.88 0.3724176
3 20 1000 1 60.54544 134.3038 136.695 5.960168e-08
3 20 1000 1 59.19561 132.9779 136.0598 6.927834e-12
3 20 1000 1 138.5928 203.6741 204.0318 2.626131e-07
3 20 1000 1 59.48864 133.4155 136.0723 1.492585e-07
3 20 1000 1 54.56746 128.4793 131.3401 1.374846e-07
3 20 1000 1 57.8006 131.6342 133.9587 3.286897e-07
3 20 1000 1 54.86771 128.8036 131.5339 0.04920004
3 20 1000 1 53.59621 127.4967 130.1185 0.006778661
3 20 1000 1 55.14665 128.6775 131.2796 2.155192e-12
3 20 1000 1 59.07979 132.9601 135.5177 1.60992e-05
3 20 1000 1 56.59449 130.3727 132.8927 4.562604e-10
3 20 1000 1 54.15719 128.0679 130.5263 1.477417e-07
3 20 1000 1 58.45774 132.3878 134.8737 4.002809e-10
3 20 1000 1 58.57554 132.464 134.5382 6.826342e-10
3 20 1000 1 63.55647 137.3918 139.8218 5.119914e-08
3 20 1000 1 55.82536 129.7128 132.6918 4.393407e-06
3 20 1000 1 58.84082 132.6572 135.1406 0.8330141
3 20 1000 1 61.54987 135.4006 138.0363 0.01263413
3 20 1000 1 53.54031 127.4869 130.2003 7.553998e-06
3 20 1000 1 56.5577 130.4907 133.1334 0.002119098
3 20 1000 1 58.4987 132.4045 134.956 3.442381e-08
3 20 1000 1 62.26407 135.5761 137.8933 0.02430363
3 20 1000 1 131.7215 203.0614 203.3438 0.004290318
3 20 1000 1 61.30527 135.2114 137.8052 0.02254465
3 20 1000 1 61.5377 135.4907 137.8034 2.136219e-07
3 20 1000 1 55.5156 129.392 131.6342 0.003084764
3 20 1000 1 60.75177 134.4743 136.7646 3.300059e-11
3 20 1000 1 52.60888 126.5076 129.059 2.585866e-06
